# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 326 1 1 1048579 19510418 5 /openedx/staticfiles/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 1 1 1048579 19506205 5 /openedx/staticfiles/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 6 1 1048579 5302174 5 /openedx/staticfiles/studio/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 2 1 1048579 32717277 5 /openedx/staticfiles/studio/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 6 1 1048579 5302193 5 /openedx/staticfiles/studio/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 2 1 1048579 32717184 5 /openedx/staticfiles/studio/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 5 1 1048579 19714836 5 /openedx/staticfiles/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 5 1 1048579 19719624 5 /openedx/staticfiles/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.68b329da9893.css
DUPTYPE_FIRST_OCCURRENCE 19985 8 2 1048579 21829125 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 16723236 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 17191936 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 17191937 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 19920772 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 19916678 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 19898907 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 19895098 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 16723235 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21825048 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21793316 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21790979 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 15364671 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 14697856 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 14697857 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21916760 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 15364670 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21917173 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21070175 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 16111731 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 16111732 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 16547889 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 1048579 16547890 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 1048579 21072184 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.99914b932bd3.json
DUPTYPE_FIRST_OCCURRENCE 20565 8 3 1048579 20204168 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.d4908b1e39cc.html
DUPTYPE_WITHIN_SAME_TREE -20565 9 3 1048579 15950770 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.d4908b1e39cc.html
DUPTYPE_WITHIN_SAME_TREE -20565 8 3 1048579 20202140 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20565 9 3 1048579 15950768 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/end_date.html
DUPTYPE_FIRST_OCCURRENCE 20423 8 3 1048579 19843035 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 1048579 19842466 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 1048579 21139028 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 1048579 19876383 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 1048579 1900263 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 1048579 13978421 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 1048579 13978422 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 1048579 1900275 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 1048579 19877881 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_test_block_draft/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 1048579 16274647 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -20423 9 3 1048579 16274648 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.8a80554c91d9.json
DUPTYPE_WITHIN_SAME_TREE -20423 8 3 1048579 21141660 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/split_course_with_static_tabs/policies/assets.8a80554c91d9.json
DUPTYPE_FIRST_OCCURRENCE 20503 8 4 1048579 19904474 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 1048579 19903816 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 1048579 16471535 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 1048579 14975550 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 1048579 14975551 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 1048579 21362076 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 1048579 21362221 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 1048579 21736057 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 8 4 1048579 21738888 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 1048579 16471534 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_unicode/about/end_date.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 1048579 16371896 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.95cec7fbf076.html
DUPTYPE_WITHIN_SAME_TREE -20503 9 4 1048579 16371895 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_import_course_2/about/end_date.html
DUPTYPE_FIRST_OCCURRENCE 22915 9 5 1048579 19877860 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 1048579 14527011 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 1048579 13923108 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.08e9de24ab15.html
DUPTYPE_WITHIN_SAME_TREE -22915 10 5 1048579 13923102 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/conditional_and_poll/about/2013_Spring/prerequisites.html
DUPTYPE_WITHIN_SAME_TREE -22915 9 5 1048579 19890180 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/word_cloud/about/2013_Spring/prerequisites.08e9de24ab15.html
